緯度,経度,場所
34.71518,135.213957,神戸市灘区上野通八丁目
34.713235,135.215945,神戸市灘区天城通八丁目
34.712409,135.216827,神戸市灘区福住通八丁目
34.71654,135.210357,神戸市灘区城の下通三丁目
34.71252,135.237163,神戸市灘区琵琶町一丁目
34.711889,135.24149,神戸市灘区友田町三丁目
34.712073,135.232952,神戸市灘区上河原通一丁目
34.709062,135.243857,神戸市灘区浜田町一丁目
34.711036,135.242946,神戸市灘区浜田町二丁目
34.708789,135.242573,神戸市灘区浜田町四丁目
34.71055,135.241978,神戸市灘区浜田町三丁目
34.71018,135.240878,神戸市灘区新在家北町一丁目
34.71154,135.240189,神戸市灘区友田町四丁目
34.709732,135.239742,神戸市灘区新在家北町二丁目
34.711178,135.239181,神戸市灘区友田町五丁目
34.708057,135.240479,神戸市灘区新在家南町一丁目
34.71227,135.238519,神戸市灘区桜口町五丁目
34.706929,135.239408,神戸市灘区新在家南町二丁目
34.709299,135.238625,神戸市灘区大石東町一丁目
34.708883,135.237549,神戸市灘区大石東町二丁目
34.710807,135.23798,神戸市灘区烏帽子町一丁目
34.710006,135.235743,神戸市灘区烏帽子町三丁目
34.710303,135.237026,神戸市灘区烏帽子町二丁目
34.711774,135.236361,神戸市灘区琵琶町二丁目
34.708435,135.236363,神戸市灘区大石東町三丁目
34.706176,135.237371,神戸市灘区新在家南町三丁目
34.708078,135.235378,神戸市灘区大石東町四丁目
34.70761,135.234366,神戸市灘区大石東町五丁目
34.704244,135.234383,神戸市灘区新在家南町五丁目
34.704008,135.232785,神戸市灘区大石南町一丁目
34.711445,135.235047,神戸市灘区琵琶町三丁目
34.711122,135.23425,神戸市灘区下河原通一丁目
34.709657,135.234623,神戸市灘区鹿ノ下通一丁目
34.704955,135.236086,神戸市灘区新在家南町四丁目
34.710906,135.233758,神戸市灘区下河原通二丁目
34.709293,135.233529,神戸市灘区鹿ノ下通二丁目
34.710756,135.232868,神戸市灘区下河原通三丁目
34.711799,135.232082,神戸市灘区上河原通二丁目
34.707199,135.232923,神戸市灘区大石東町六丁目
34.704757,135.218076,神戸市灘区岩屋北町四丁目
34.712088,135.221738,神戸市灘区水道筋五丁目
34.70873,135.222214,神戸市灘区灘北通六丁目
34.709456,135.221851,神戸市灘区泉通六丁目
34.709406,135.220329,神戸市灘区城内通一丁目
34.710729,135.221361,神戸市灘区岸地通五丁目
34.710238,135.218993,神戸市灘区王子町一丁目
34.710229,135.231982,神戸市灘区下河原通四丁目
34.708979,135.23198,神戸市灘区鹿ノ下通三丁目
34.711535,135.231285,神戸市灘区上河原通三丁目
34.709906,135.231058,神戸市灘区下河原通五丁目
34.703944,135.231624,神戸市灘区大石南町二丁目
34.711131,135.230398,神戸市灘区上河原通四丁目
34.703798,135.230685,神戸市灘区大石南町三丁目
34.707931,135.230501,神戸市灘区船寺通一丁目
34.706102,135.230883,神戸市灘区大石北町
34.712238,135.229799,神戸市灘区千旦通四丁目
34.709628,135.229699,神戸市灘区灘南通一丁目
34.710817,135.229336,神戸市灘区灘北通一丁目
34.70755,135.229264,神戸市灘区船寺通二丁目
34.705702,135.228717,神戸市灘区都通一丁目
34.711718,135.228855,神戸市灘区泉通一丁目
34.709092,135.228426,神戸市灘区灘南通二丁目
34.707313,135.227948,神戸市灘区船寺通三丁目
34.710512,135.227829,神戸市灘区灘北通二丁目
34.705649,135.227461,神戸市灘区都通二丁目
34.711358,135.22741,神戸市灘区泉通二丁目
34.708882,135.227242,神戸市灘区灘南通三丁目
34.710237,135.226672,神戸市灘区灘北通三丁目
34.705336,135.226345,神戸市灘区都通三丁目
34.711007,135.226306,神戸市灘区泉通三丁目
34.701287,135.230303,神戸市灘区灘浜町
34.711576,135.226054,神戸市灘区大内通三丁目
34.708486,135.226068,神戸市灘区灘南通四丁目
34.706985,135.226549,神戸市灘区船寺通四丁目
34.703789,135.227438,神戸市灘区味泥町
34.709362,135.223875,神戸市灘区灘北通五丁目
34.70987,135.225473,神戸市灘区灘北通四丁目
34.710594,135.225145,神戸市灘区泉通四丁目
34.704704,135.225457,神戸市灘区都通四丁目
34.71123,135.224838,神戸市灘区大内通四丁目
34.706603,135.224638,神戸市灘区船寺通五丁目
